date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:54:47	67599/67599	---MC-	200	added ('OK')	text/html	etag:W/%2258165072-1080f%22	http://wp1.themexlab.com/html2/health-coach/index.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/index.html	(from )
07:54:48	556/556	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Jun%202017%2002:24:47%20GMT	http://wp1.themexlab.com/robots.txt		(from )
07:54:49	121200/121200	---MC-	200	added ('OK')	text/css	etag:W/%2257966e38-1d970%22	http://wp1.themexlab.com/html2/health-coach/css/bootstrap.css	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/css/bootstrap.css	(from )
07:54:49	79724/79724	---MC-	200	added ('OK')	text/css	etag:W/%225560c0f6-1376c%22	http://wp1.themexlab.com/html2/health-coach/css/revolution-slider.css	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/css/revolution-slider.css	(from )
07:54:51	123035/123035	---MC-	200	added ('OK')	text/css	etag:W/%2258164f20-1e09b%22	http://wp1.themexlab.com/html2/health-coach/css/style.css	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/css/style.css	(from )
07:54:51	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225801a486-47e%22	http://wp1.themexlab.com/html2/health-coach/images/favicon.ico	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/images/favicon.ico	(from )
07:54:51	8604/8604	---MC-	200	added ('OK')	text/css	etag:W/%22580a881e-219c%22	http://wp1.themexlab.com/html2/health-coach/css/responsive.css	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/css/responsive.css	(from )
07:54:52	31443/31443	---MC-	200	added ('OK')	text/html	etag:W/%22580aa238-7ad3%22	http://wp1.themexlab.com/html2/health-coach/contact.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/contact.html	(from )
07:54:52	4381/4381	---M--	200	added ('OK')	image/png	etag:%22580149f8-111d%22	http://wp1.themexlab.com/html2/health-coach/images/logo.png	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/images/logo.png	(from )
07:54:53	48295/48295	---MC-	200	added ('OK')	text/html	etag:W/%2258165156-bca7%22	http://wp1.themexlab.com/html2/health-coach/about-us.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/about-us.html	(from )
07:54:53	84153/84153	---MC-	200	added ('OK')	text/html	etag:W/%22580aa238-148b9%22	http://wp1.themexlab.com/html2/health-coach/events.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/events.html	(from )
07:54:54	37127/37127	---MC-	200	added ('OK')	text/html	etag:W/%22580aa236-9107%22	http://wp1.themexlab.com/html2/health-coach/services.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/services.html	(from )
07:54:54	40154/40154	---MC-	200	added ('OK')	text/html	etag:W/%2258164fd2-9cda%22	http://wp1.themexlab.com/html2/health-coach/service-single.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/service-single.html	(from )
07:54:55	44375/44375	---MC-	200	added ('OK')	text/html	etag:W/%22580aa238-ad57%22	http://wp1.themexlab.com/html2/health-coach/portfolio-four-column.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/portfolio-four-column.html	(from )
07:54:56	43285/43285	---MC-	200	added ('OK')	text/html	etag:W/%22580aa238-a915%22	http://wp1.themexlab.com/html2/health-coach/portfolio-fullwidth.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/portfolio-fullwidth.html	(from )
07:54:56	49731/49731	---MC-	200	added ('OK')	text/html	etag:W/%22580aa238-c243%22	http://wp1.themexlab.com/html2/health-coach/portfolio-with-text.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/portfolio-with-text.html	(from )
07:54:56	58365/58365	---MC-	200	added ('OK')	text/html	etag:W/%22580aa238-e3fd%22	http://wp1.themexlab.com/html2/health-coach/portfolio-single.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/portfolio-single.html	(from )
07:54:57	37045/37045	---MC-	200	added ('OK')	text/html	etag:W/%22580aa238-90b5%22	http://wp1.themexlab.com/html2/health-coach/blog.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/blog.html	(from )
07:54:57	43214/43214	---MC-	200	added ('OK')	text/html	etag:W/%22580aa238-a8ce%22	http://wp1.themexlab.com/html2/health-coach/blog-list.html	F:/@PROJECT/Templet/Healstic/wp1.themexlab.com/html2/health-coach/blog-list.html	(from )
